passenger_id,trajectory_type,trajectory_time,trajectory_platform
204541,Transfer,22590,113_2_0
204541,Boarding,22680,113_2_0
204541,Exit,22800,213_2_0
204542,Arrival,21720,918_4_1
204542,Boarding,21720,918_4_1
204542,Transfer,21900,108_1_0
204542,Boarding,21930,108_1_0
204542,Transfer,22590,113_2_0
204542,Boarding,22680,113_2_0
204542,Exit,22800,213_2_0
220419,Arrival,22440,921_4_1
220419,Boarding,22440,921_4_1
220419,Exit,22800,918_4_1
153757,Arrival,22020,305_4_0
153757,Boarding,22020,305_4_0
153757,Exit,22800,922_4_0
62452,Arrival,21900,122_1_0
62452,Boarding,21900,122_1_0
62452,Exit,22800,128_1_0
186222,Arrival,22110,329_3_1
186222,Boarding,22110,329_3_1
186222,Exit,22830,325_3_1
75921,Arrival,22350,128_1_1
75921,Boarding,22350,128_1_1
75921,Exit,22830,125_1_1
96757,Arrival,22110,206_2_0
96757,Boarding,22110,206_2_0
96757,Exit,22830,210_2_0
157408,Arrival,21900,310_3_1
157408,Boarding,21900,310_3_1
157408,Transfer,22200,208_2_0
157408,Boarding,22470,208_2_0
157408,Exit,22830,210_2_0
218654,Arrival,21900,921_4_1
218654,Boarding,21900,921_4_1
218654,Transfer,22560,305_3_1
218654,Boarding,22620,305_3_1
218654,Exit,22860,303_3_1
48100,Arrival,22260,116_1_1
48100,Boarding,22260,116_1_1
48100,Exit,22860,111_1_1
121927,Arrival,22050,214_2_1
121927,Boarding,22050,214_2_1
121927,Transfer,22350,113_1_1
121927,Boarding,22620,113_1_1
121927,Exit,22860,111_1_1
115249,Arrival,22230,213_2_1
115249,Boarding,22230,213_2_1
115249,Transfer,22350,113_1_1
115249,Boarding,22620,113_1_1
115249,Exit,22860,111_1_1
115250,Arrival,22230,213_2_1
115250,Boarding,22230,213_2_1
115250,Transfer,22350,113_1_1
115250,Boarding,22620,113_1_1
115250,Exit,22860,111_1_1
94948,Arrival,21660,206_2_0
94948,Boarding,21660,206_2_0
94948,Transfer,22680,113_1_1
94948,Boarding,22620,113_1_1
94948,Exit,22860,111_1_1
96246,Arrival,22020,206_2_1
96246,Boarding,22020,206_2_1
96246,Exit,22860,202_2_1
141353,Arrival,21960,303_3_1
141353,Boarding,21960,303_3_1
141353,Transfer,22320,105_1_1
141353,Boarding,22530,105_1_1
141353,Exit,22890,103_1_1
114869,Arrival,21780,213_2_1
114869,Boarding,21780,213_2_1
114869,Transfer,21900,113_1_1
114869,Boarding,22230,113_1_1
114869,Exit,22890,108_1_1
108128,Arrival,21930,210_2_0
108128,Boarding,21930,210_2_0
108128,Transfer,22230,113_1_1
108128,Boarding,22230,113_1_1
108128,Exit,22890,108_1_1
247904,Arrival,22380,928_4_1
247904,Boarding,22380,928_4_1
247904,Exit,22920,925_4_1
150507,Arrival,21870,305_3_0
150507,Boarding,21870,305_3_0
150507,Transfer,22290,208_2_1
150507,Boarding,22560,208_2_1
150507,Exit,22920,206_2_1
27232,Arrival,22200,110_1_1
27232,Boarding,22200,110_1_1
27232,Exit,22920,105_1_1
215091,Arrival,21900,921_4_1
215091,Boarding,21900,921_4_1
215091,Transfer,22440,108_1_1
215091,Boarding,22500,108_1_1
215091,Exit,22920,105_1_1
137875,Arrival,22110,219_2_1
137875,Boarding,22110,219_2_1
137875,Exit,22950,214_2_1
131022,Arrival,22650,216_2_1
131022,Boarding,22650,216_2_1
131022,Exit,22950,214_2_1
202717,Arrival,21720,918_4_1
202717,Boarding,21720,918_4_1
202717,Transfer,21900,108_1_0
202717,Boarding,21930,108_1_0
202717,Exit,22950,116_1_0
115617,Arrival,22230,213_2_1
115617,Boarding,22230,213_2_1
115617,Transfer,22350,113_1_0
115617,Boarding,22590,113_1_0
115617,Exit,22950,116_1_0
115618,Arrival,22230,213_2_1
115618,Boarding,22230,213_2_1
115618,Transfer,22350,113_1_0
115618,Boarding,22590,113_1_0
115618,Exit,22950,116_1_0
34954,Arrival,21960,111_1_0
34954,Boarding,21960,111_1_0
34954,Exit,22980,119_1_0
155970,Arrival,22140,310_3_0
155970,Boarding,22140,310_3_0
155970,Transfer,22560,116_1_0
155970,Boarding,22560,116_1_0
155970,Exit,22980,119_1_0
155969,Arrival,22140,310_3_0
155969,Boarding,22140,310_3_0
155969,Transfer,22560,116_1_0
155969,Boarding,22560,116_1_0
155969,Exit,22980,119_1_0
146759,Arrival,22080,303_3_0
146759,Boarding,22080,303_3_0
146759,Transfer,22320,305_4_0
146759,Boarding,22560,305_4_0
146759,Exit,22980,919_4_0
146757,Arrival,22080,303_3_0
146757,Boarding,22080,303_3_0
146757,Transfer,22320,305_4_0
146757,Boarding,22560,305_4_0
146757,Exit,22980,919_4_0
113122,Arrival,21750,210_2_1
113122,Boarding,21750,210_2_1
113122,Transfer,22110,208_3_1
113122,Boarding,22200,208_3_1
113122,Transfer,22620,305_4_0
113122,Boarding,22560,305_4_0
113122,Exit,22980,919_4_0
19088,Arrival,21900,105_1_0
19088,Boarding,21900,105_1_0
19088,Transfer,22320,108_4_0
19088,Boarding,22680,108_4_0
19088,Exit,22980,919_4_0
179378,Arrival,22380,325_3_1
179378,Boarding,22380,325_3_1
179378,Exit,22980,321_3_1
10428,Arrival,21930,103_1_0
10428,Boarding,21930,103_1_0
10428,Transfer,22290,105_3_0
10428,Boarding,22560,105_3_0
10428,Exit,22980,303_3_0
121747,Arrival,22050,214_2_1
121747,Boarding,22050,214_2_1
121747,Transfer,22350,113_1_1
121747,Boarding,22620,113_1_1
121747,Exit,22980,110_1_1
115050,Arrival,22230,213_2_1
115050,Boarding,22230,213_2_1
115050,Transfer,22350,113_1_1
115050,Boarding,22620,113_1_1
115050,Exit,22980,110_1_1
108326,Arrival,22380,210_2_0
108326,Boarding,22380,210_2_0
108326,Transfer,22680,113_1_1
108326,Boarding,22620,113_1_1
108326,Exit,22980,110_1_1
41163,Arrival,22620,113_1_1
41163,Boarding,22620,113_1_1
41163,Exit,22980,110_1_1
14434,Arrival,21900,105_1_0
14434,Boarding,21900,105_1_0
14434,Exit,22980,113_1_0
103985,Arrival,22020,208_2_0
103985,Boarding,22020,208_2_0
103985,Exit,22980,214_2_0
208579,Arrival,22680,919_4_1
208579,Boarding,22680,919_4_1
208579,Exit,22980,108_4_1
202007,Arrival,22800,918_4_1
202007,Boarding,22800,918_4_1
202007,Exit,22980,108_4_1
202008,Arrival,22800,918_4_1
202008,Boarding,22800,918_4_1
202008,Exit,22980,108_4_1
95310,Arrival,21660,206_2_0
95310,Boarding,21660,206_2_0
95310,Transfer,22020,208_3_0
95310,Boarding,22290,208_3_0
95310,Exit,23010,116_3_0
7174,Arrival,21930,103_1_0
7174,Boarding,21930,103_1_0
7174,Exit,23010,110_1_0
202165,Arrival,22260,918_4_1
202165,Boarding,22260,918_4_1
202165,Transfer,22440,108_1_0
202165,Boarding,22710,108_1_0
202165,Exit,23010,110_1_0
202164,Arrival,22260,918_4_1
202164,Boarding,22260,918_4_1
202164,Transfer,22440,108_1_0
202164,Boarding,22710,108_1_0
202164,Exit,23010,110_1_0
202166,Arrival,22260,918_4_1
202166,Boarding,22260,918_4_1
202166,Transfer,22440,108_1_0
202166,Boarding,22710,108_1_0
202166,Exit,23010,110_1_0
89798,Arrival,22710,204_2_0
89798,Boarding,22710,204_2_0
89798,Exit,23010,206_2_0
38003,Arrival,21960,111_1_0
38003,Boarding,21960,111_1_0
38003,Transfer,22560,116_3_0
38003,Boarding,22560,116_3_0
38003,Exit,23040,316_3_0
38006,Arrival,21960,111_1_0
38006,Boarding,21960,111_1_0
38006,Transfer,22560,116_3_0
38006,Boarding,22560,116_3_0
38006,Exit,23040,316_3_0
220214,Arrival,21900,921_4_1
220214,Boarding,21900,921_4_1
220214,Exit,23040,913_4_1
38941,Arrival,21690,111_1_1
38941,Boarding,21690,111_1_1
38941,Transfer,22110,108_4_1
38941,Boarding,22440,108_4_1
38941,Exit,23040,913_4_1
153058,Arrival,22560,305_4_1
153058,Boarding,22560,305_4_1
153058,Exit,23040,913_4_1
158607,Arrival,22350,310_3_1
158607,Boarding,22350,310_3_1
158607,Exit,23070,305_3_1
97941,Arrival,22110,206_2_0
97941,Boarding,22110,206_2_0
97941,Transfer,22470,208_3_1
97941,Boarding,22650,208_3_1
97941,Exit,23070,305_3_1
209,Arrival,22350,101_1_0
209,Boarding,22350,101_1_0
209,Exit,23070,105_1_0
