platform_id,timestamp,queue_length,queue_length_type,train_id
310_3_1,21900,0,After Onboard,3_1_3
113_2_1,21900,3,Before Onboard,2_1_7
113_2_1,21900,0,After Onboard,2_1_7
213_2_0,21900,2,Before Onboard,2_0_5
213_2_0,21900,0,After Onboard,2_0_5
103_1_0,21930,11,Before Onboard,1_0_10
103_1_0,21930,0,After Onboard,1_0_10
108_1_0,21930,6,Before Onboard,1_0_8
108_1_0,21930,0,After Onboard,1_0_8
116_3_1,21930,1,Before Onboard,3_1_4
116_3_1,21930,0,After Onboard,3_1_4
325_3_1,21930,10,Before Onboard,3_1_8
325_3_1,21930,0,After Onboard,3_1_8
216_2_0,21930,3,Before Onboard,2_0_4
216_2_0,21930,0,After Onboard,2_0_4
210_2_0,21930,7,Before Onboard,2_0_6
210_2_0,21930,0,After Onboard,2_0_6
219_2_0,21960,20,Before Onboard,2_0_3
219_2_0,21960,0,After Onboard,2_0_3
321_3_0,21960,15,Before Onboard,3_0_3
321_3_0,21960,0,After Onboard,3_0_3
208_2_0,21960,0,When Arrival,2_0_7
101_1_0,21960,19,Before Onboard,1_0_11
101_1_0,21960,0,After Onboard,1_0_11
202_2_1,21960,8,Before Onboard,2_1_3
202_2_1,21960,0,After Onboard,2_1_3
206_2_1,21960,0,When Arrival,2_1_5
111_1_0,21960,14,Before Onboard,1_0_7
111_1_0,21960,0,After Onboard,1_0_7
305_4_1,21960,0,When Arrival,4_1_5
913_4_1,21960,12,Before Onboard,4_1_4
913_4_1,21960,0,After Onboard,4_1_4
303_3_1,21960,17,Before Onboard,3_1_1
303_3_1,21960,0,After Onboard,3_1_1
101_1_1,21960,0,When Arrival,1_1_1
128_1_1,21960,19,Before Onboard,1_1_11
128_1_1,21960,0,After Onboard,1_1_11
214_2_1,21990,0,When Arrival,2_1_8
125_1_0,21990,10,Before Onboard,1_0_2
125_1_0,21990,0,After Onboard,1_0_2
305_4_0,22020,6,Before Onboard,4_0_6
305_4_0,22020,0,After Onboard,4_0_6
214_2_0,22020,0,When Arrival,2_0_5
305_4_1,22020,0,Before Onboard,4_1_5
305_4_1,22020,0,After Onboard,4_1_5
101_1_1,22020,2,Before Onboard,1_1_1
101_1_1,22020,0,After Onboard,1_1_1
208_2_0,22020,8,Before Onboard,2_0_7
208_2_0,22020,0,After Onboard,2_0_7
128_1_0,22020,2,Before Onboard,1_0_1
128_1_0,22020,0,After Onboard,1_0_1
206_2_1,22020,10,Before Onboard,2_1_5
206_2_1,22020,0,After Onboard,2_1_5
208_2_1,22050,0,When Arrival,2_1_6
206_2_0,22050,0,When Arrival,2_0_8
116_3_0,22050,0,When Arrival,3_0_6
103_1_1,22050,0,When Arrival,1_1_2
125_1_1,22050,2,Before Onboard,1_1_10
125_1_1,22050,0,After Onboard,1_1_10
108_1_1,22050,0,When Arrival,1_1_4
214_2_1,22050,26,Before Onboard,2_1_8
214_2_1,22050,0,After Onboard,2_1_8
105_1_1,22080,0,When Arrival,1_1_3
122_1_1,22080,0,When Arrival,1_1_9
108_4_0,22080,0,When Arrival,4_0_6
111_1_1,22080,8,Before Onboard,1_1_5
111_1_1,22080,0,After Onboard,1_1_5
913_4_0,22080,5,Before Onboard,4_0_7
913_4_0,22080,0,After Onboard,4_0_7
928_4_0,22080,0,When Arrival,4_0_3
921_4_0,22080,0,When Arrival,4_0_5
321_3_1,22080,10,Before Onboard,3_1_7
321_3_1,22080,0,After Onboard,3_1_7
919_4_1,22080,0,When Arrival,4_1_6
310_3_0,22080,0,When Arrival,3_0_7
303_3_0,22080,4,Before Onboard,3_0_9
303_3_0,22080,0,After Onboard,3_0_9
316_3_0,22080,0,When Arrival,3_0_5
214_2_0,22080,1,Before Onboard,2_0_5
214_2_0,22080,0,After Onboard,2_0_5
208_2_1,22110,3,Before Onboard,2_1_6
208_2_1,22110,0,After Onboard,2_1_6
219_2_1,22110,8,Before Onboard,2_1_10
219_2_1,22110,0,After Onboard,2_1_10
305_3_1,22110,0,When Arrival,3_1_2
108_1_1,22110,10,Before Onboard,1_1_4
108_1_1,22110,0,After Onboard,1_1_4
103_1_1,22110,10,Before Onboard,1_1_2
103_1_1,22110,0,After Onboard,1_1_2
206_2_0,22110,6,Before Onboard,2_0_8
206_2_0,22110,0,After Onboard,2_0_8
116_3_0,22110,10,Before Onboard,3_0_6
116_3_0,22110,0,After Onboard,3_0_6
202_2_0,22110,3,Before Onboard,2_0_10
202_2_0,22110,0,After Onboard,2_0_10
325_3_0,22110,11,Before Onboard,3_0_2
325_3_0,22110,0,After Onboard,3_0_2
105_3_0,22110,8,Before Onboard,3_0_10
105_3_0,22110,0,After Onboard,3_0_10
329_3_1,22110,12,Before Onboard,3_1_10
329_3_1,22110,0,After Onboard,3_1_10
116_1_0,22110,0,When Arrival,1_0_6
216_2_1,22140,0,When Arrival,2_1_9
113_1_0,22140,0,When Arrival,1_0_7
210_2_1,22140,0,When Arrival,2_1_7
316_3_0,22140,5,Before Onboard,3_0_5
316_3_0,22140,0,After Onboard,3_0_5
208_3_1,22140,4,When Arrival,3_1_3
310_3_0,22140,10,Before Onboard,3_0_7
310_3_0,22140,0,After Onboard,3_0_7
926_4_1,22140,0,When Arrival,4_1_8
919_4_1,22140,9,Before Onboard,4_1_6
919_4_1,22140,0,After Onboard,4_1_6
105_1_1,22140,1,Before Onboard,1_1_3
105_1_1,22140,0,After Onboard,1_1_3
909_4_1,22140,11,Before Onboard,4_1_3
909_4_1,22140,0,After Onboard,4_1_3
108_4_0,22140,0,Before Onboard,4_0_6
108_4_0,22140,0,After Onboard,4_0_6
928_4_0,22140,17,Before Onboard,4_0_3
928_4_0,22140,0,After Onboard,4_0_3
921_4_0,22140,11,Before Onboard,4_0_5
921_4_0,22140,0,After Onboard,4_0_5
122_1_1,22140,7,Before Onboard,1_1_9
122_1_1,22140,0,After Onboard,1_1_9
110_1_1,22140,0,When Arrival,1_1_5
925_4_0,22140,0,When Arrival,4_0_4
213_2_1,22170,0,When Arrival,2_1_8
113_2_0,22170,2,When Arrival,2_0_6
305_3_1,22170,8,Before Onboard,3_1_2
305_3_1,22170,0,After Onboard,3_1_2
119_1_1,22170,0,When Arrival,1_1_8
116_1_0,22170,4,Before Onboard,1_0_6
116_1_0,22170,0,After Onboard,1_0_6
110_1_0,22170,0,When Arrival,1_0_8
926_4_1,22200,11,Before Onboard,4_1_8
926_4_1,22200,0,After Onboard,4_1_8
204_2_0,22200,0,When Arrival,2_0_9
210_2_1,22200,10,Before Onboard,2_1_7
210_2_1,22200,0,After Onboard,2_1_7
119_1_0,22200,18,Before Onboard,1_0_5
119_1_0,22200,0,After Onboard,1_0_5
216_2_1,22200,14,Before Onboard,2_1_9
216_2_1,22200,0,After Onboard,2_1_9
113_1_0,22200,14,Before Onboard,1_0_7
113_1_0,22200,0,After Onboard,1_0_7
208_3_1,22200,5,Before Onboard,3_1_3
208_3_1,22200,0,After Onboard,3_1_3
918_4_1,22200,0,When Arrival,4_1_6
925_4_0,22200,14,Before Onboard,4_0_4
925_4_0,22200,0,After Onboard,4_0_4
922_4_0,22200,0,When Arrival,4_0_5
116_1_1,22200,1,When Arrival,1_1_7
110_1_1,22200,18,Before Onboard,1_1_5
110_1_1,22200,0,After Onboard,1_1_5
110_1_0,22230,2,Before Onboard,1_0_8
110_1_0,22230,0,After Onboard,1_0_8
213_2_1,22230,20,Before Onboard,2_1_8
213_2_1,22230,0,After Onboard,2_1_8
113_2_0,22230,3,Before Onboard,2_0_6
113_2_0,22230,0,After Onboard,2_0_6
122_1_0,22230,0,When Arrival,1_0_4
208_3_0,22230,1,When Arrival,3_0_8
113_1_1,22230,8,Before Onboard,1_1_6
113_1_1,22230,0,After Onboard,1_1_6
119_1_1,22230,0,Before Onboard,1_1_8
119_1_1,22230,0,After Onboard,1_1_8
105_1_0,22230,0,When Arrival,1_0_10
918_4_1,22260,18,Before Onboard,4_1_6
918_4_1,22260,0,After Onboard,4_1_6
922_4_0,22260,20,Before Onboard,4_0_5
922_4_0,22260,0,After Onboard,4_0_5
922_4_1,22260,0,When Arrival,4_1_7
108_1_0,22260,1,When Arrival,1_0_9
305_3_0,22260,3,When Arrival,3_0_9
204_2_1,22260,0,When Arrival,2_1_5
918_4_0,22260,0,When Arrival,4_0_6
105_3_1,22260,0,When Arrival,3_1_1
103_1_0,22260,0,When Arrival,1_0_11
204_2_0,22260,17,Before Onboard,2_0_9
204_2_0,22260,0,After Onboard,2_0_9
116_1_1,22260,4,Before Onboard,1_1_7
116_1_1,22260,0,After Onboard,1_1_7
213_2_0,22290,0,When Arrival,2_0_6
105_1_0,22290,1,Before Onboard,1_0_10
105_1_0,22290,0,After Onboard,1_0_10
111_1_0,22290,0,When Arrival,1_0_8
113_2_1,22290,0,When Arrival,2_1_8
208_3_0,22290,5,Before Onboard,3_0_8
208_3_0,22290,0,After Onboard,3_0_8
316_3_1,22290,0,When Arrival,3_1_6
310_3_1,22290,0,When Arrival,3_1_4
122_1_0,22290,12,Before Onboard,1_0_4
122_1_0,22290,0,After Onboard,1_0_4
116_3_1,22320,0,When Arrival,3_1_5
105_3_1,22320,1,Before Onboard,3_1_1
105_3_1,22320,0,After Onboard,3_1_1
926_4_0,22320,0,When Arrival,4_0_4
925_4_1,22320,0,When Arrival,4_1_8
216_2_0,22320,0,When Arrival,2_0_5
918_4_0,22320,0,Before Onboard,4_0_6
918_4_0,22320,0,After Onboard,4_0_6
210_2_0,22320,0,When Arrival,2_0_7
922_4_1,22320,3,Before Onboard,4_1_7
922_4_1,22320,0,After Onboard,4_1_7
125_1_0,22320,0,When Arrival,1_0_3
325_3_1,22320,0,When Arrival,3_1_9
305_3_0,22320,12,Before Onboard,3_0_9
305_3_0,22320,0,After Onboard,3_0_9
108_1_0,22320,8,Before Onboard,1_0_9
108_1_0,22320,0,After Onboard,1_0_9
329_3_0,22320,9,Before Onboard,3_0_1
329_3_0,22320,0,After Onboard,3_0_1
204_2_1,22320,3,Before Onboard,2_1_5
204_2_1,22320,0,After Onboard,2_1_5
103_1_0,22320,6,Before Onboard,1_0_11
103_1_0,22320,0,After Onboard,1_0_11
213_2_0,22350,8,Before Onboard,2_0_6
213_2_0,22350,0,After Onboard,2_0_6
219_2_0,22350,0,When Arrival,2_0_4
111_1_0,22350,7,Before Onboard,1_0_8
111_1_0,22350,0,After Onboard,1_0_8
310_3_1,22350,12,Before Onboard,3_1_4
310_3_1,22350,0,After Onboard,3_1_4
303_3_1,22350,0,When Arrival,3_1_2
321_3_0,22350,0,When Arrival,3_0_4
128_1_1,22350,10,Before Onboard,1_1_12
128_1_1,22350,0,After Onboard,1_1_12
113_2_1,22350,6,Before Onboard,2_1_8
113_2_1,22350,0,After Onboard,2_1_8
101_1_0,22350,15,Before Onboard,1_0_12
101_1_0,22350,0,After Onboard,1_0_12
128_1_0,22350,0,When Arrival,1_0_2
316_3_1,22350,9,Before Onboard,3_1_6
316_3_1,22350,0,After Onboard,3_1_6
101_1_1,22350,0,When Arrival,1_1_2
925_4_1,22380,9,Before Onboard,4_1_8
925_4_1,22380,0,After Onboard,4_1_8
921_4_1,22380,0,When Arrival,4_1_7
116_3_1,22380,7,Before Onboard,3_1_5
116_3_1,22380,0,After Onboard,3_1_5
108_4_1,22380,1,When Arrival,4_1_6
909_4_0,22380,10,Before Onboard,4_0_9
909_4_0,22380,0,After Onboard,4_0_9
125_1_0,22380,12,Before Onboard,1_0_3
125_1_0,22380,0,After Onboard,1_0_3
325_3_1,22380,9,Before Onboard,3_1_9
325_3_1,22380,0,After Onboard,3_1_9
125_1_1,22380,0,When Arrival,1_1_11
928_4_1,22380,10,Before Onboard,4_1_9
928_4_1,22380,0,After Onboard,4_1_9
216_2_0,22380,6,Before Onboard,2_0_5
216_2_0,22380,0,After Onboard,2_0_5
210_2_0,22380,10,Before Onboard,2_0_7
210_2_0,22380,0,After Onboard,2_0_7
919_4_0,22380,0,When Arrival,4_0_6
926_4_0,22380,7,Before Onboard,4_0_4
926_4_0,22380,0,After Onboard,4_0_4
202_2_1,22410,10,Before Onboard,2_1_4
202_2_1,22410,0,After Onboard,2_1_4
111_1_1,22410,0,When Arrival,1_1_6
128_1_0,22410,3,Before Onboard,1_0_2
128_1_0,22410,0,After Onboard,1_0_2
321_3_0,22410,12,Before Onboard,3_0_4
321_3_0,22410,0,After Onboard,3_0_4
101_1_1,22410,3,Before Onboard,1_1_2
101_1_1,22410,0,After Onboard,1_1_2
208_2_0,22410,1,When Arrival,2_0_8
303_3_1,22410,22,Before Onboard,3_1_2
303_3_1,22410,0,After Onboard,3_1_2
219_2_0,22410,13,Before Onboard,2_0_4
219_2_0,22410,0,After Onboard,2_0_4
206_2_1,22410,0,When Arrival,2_1_6
919_4_0,22440,8,Before Onboard,4_0_6
919_4_0,22440,0,After Onboard,4_0_6
913_4_1,22440,0,When Arrival,4_1_5
921_4_1,22440,14,Before Onboard,4_1_7
921_4_1,22440,0,After Onboard,4_1_7
214_2_1,22440,0,When Arrival,2_1_9
125_1_1,22440,6,Before Onboard,1_1_11
125_1_1,22440,0,After Onboard,1_1_11
103_1_1,22440,0,When Arrival,1_1_3
108_4_1,22440,4,Before Onboard,4_1_6
108_4_1,22440,0,After Onboard,4_1_6
108_1_1,22440,5,When Arrival,1_1_5
214_2_0,22470,0,When Arrival,2_0_6
105_1_1,22470,2,When Arrival,1_1_4
208_2_0,22470,7,Before Onboard,2_0_8
208_2_0,22470,0,After Onboard,2_0_8
206_2_1,22470,10,Before Onboard,2_1_6
206_2_1,22470,0,After Onboard,2_1_6
111_1_1,22470,7,Before Onboard,1_1_6
111_1_1,22470,0,After Onboard,1_1_6
122_1_1,22470,0,When Arrival,1_1_10
303_3_0,22470,0,When Arrival,3_0_10
321_3_1,22470,0,When Arrival,3_1_8
208_2_1,22500,2,When Arrival,2_1_7
103_1_1,22500,5,Before Onboard,1_1_3
103_1_1,22500,0,After Onboard,1_1_3
108_1_1,22500,7,Before Onboard,1_1_5
108_1_1,22500,0,After Onboard,1_1_5
305_4_1,22500,0,When Arrival,4_1_6
305_4_0,22500,4,When Arrival,4_0_7
214_2_1,22500,17,Before Onboard,2_1_9
214_2_1,22500,0,After Onboard,2_1_9
913_4_1,22500,16,Before Onboard,4_1_5
913_4_1,22500,0,After Onboard,4_1_5
206_2_0,22500,0,When Arrival,2_0_9
116_1_0,22500,1,When Arrival,1_0_7
325_3_0,22500,0,When Arrival,3_0_3
116_3_0,22500,5,When Arrival,3_0_7
119_1_0,22530,0,When Arrival,1_0_6
113_1_0,22530,21,When Arrival,1_0_8
303_3_0,22530,4,Before Onboard,3_0_10
303_3_0,22530,0,After Onboard,3_0_10
321_3_1,22530,7,Before Onboard,3_1_8
321_3_1,22530,0,After Onboard,3_1_8
105_1_1,22530,14,Before Onboard,1_1_4
105_1_1,22530,0,After Onboard,1_1_4
310_3_0,22530,0,When Arrival,3_0_8
316_3_0,22530,0,When Arrival,3_0_6
110_1_1,22530,0,When Arrival,1_1_6
214_2_0,22530,1,Before Onboard,2_0_6
214_2_0,22530,0,After Onboard,2_0_6
122_1_1,22530,16,Before Onboard,1_1_10
122_1_1,22530,0,After Onboard,1_1_10
329_3_1,22560,11,Before Onboard,3_1_11
329_3_1,22560,0,After Onboard,3_1_11
913_4_0,22560,0,When Arrival,4_0_8
116_1_0,22560,18,Before Onboard,1_0_7
116_1_0,22560,0,After Onboard,1_0_7
116_3_0,22560,5,Before Onboard,3_0_7
116_3_0,22560,0,After Onboard,3_0_7
206_2_0,22560,1,Before Onboard,2_0_9
206_2_0,22560,0,After Onboard,2_0_9
202_2_0,22560,5,Before Onboard,2_0_11
202_2_0,22560,0,After Onboard,2_0_11
305_4_1,22560,12,Before Onboard,4_1_6
305_4_1,22560,0,After Onboard,4_1_6
305_3_1,22560,1,When Arrival,3_1_3
305_4_0,22560,9,Before Onboard,4_0_7
305_4_0,22560,0,After Onboard,4_0_7
113_1_1,22560,26,When Arrival,1_1_7
105_3_0,22560,6,Before Onboard,3_0_11
105_3_0,22560,0,After Onboard,3_0_11
219_2_1,22560,7,Before Onboard,2_1_11
219_2_1,22560,0,After Onboard,2_1_11
110_1_0,22560,0,When Arrival,1_0_9
325_3_0,22560,5,Before Onboard,3_0_3
325_3_0,22560,0,After Onboard,3_0_3
208_2_1,22560,7,Before Onboard,2_1_7
208_2_1,22560,0,After Onboard,2_1_7
119_1_1,22560,0,When Arrival,1_1_9
110_1_1,22590,14,Before Onboard,1_1_6
110_1_1,22590,0,After Onboard,1_1_6
116_1_1,22590,5,When Arrival,1_1_8
316_3_0,22590,11,Before Onboard,3_0_6
316_3_0,22590,0,After Onboard,3_0_6
310_3_0,22590,10,Before Onboard,3_0_8
310_3_0,22590,0,After Onboard,3_0_8
208_3_1,22590,8,When Arrival,3_1_4
216_2_1,22590,0,When Arrival,2_1_10
210_2_1,22590,0,When Arrival,2_1_8
113_1_0,22590,27,Before Onboard,1_0_8
113_1_0,22590,0,After Onboard,1_0_8
119_1_0,22590,8,Before Onboard,1_0_6
119_1_0,22590,0,After Onboard,1_0_6
913_4_0,22620,3,Before Onboard,4_0_8
913_4_0,22620,0,After Onboard,4_0_8
909_4_1,22620,0,When Arrival,4_1_4
113_2_0,22620,4,When Arrival,2_0_7
919_4_1,22620,0,When Arrival,4_1_7
213_2_1,22620,0,When Arrival,2_1_9
928_4_0,22620,0,When Arrival,4_0_4
105_1_0,22620,0,When Arrival,1_0_11
921_4_0,22620,0,When Arrival,4_0_6
108_4_0,22620,4,When Arrival,4_0_7
305_3_1,22620,5,Before Onboard,3_1_3
305_3_1,22620,0,After Onboard,3_1_3
122_1_0,22620,0,When Arrival,1_0_5
113_1_1,22620,31,Before Onboard,1_1_7
113_1_1,22620,0,After Onboard,1_1_7
119_1_1,22620,0,Before Onboard,1_1_9
119_1_1,22620,0,After Onboard,1_1_9
110_1_0,22620,0,Before Onboard,1_0_9
110_1_0,22620,0,After Onboard,1_0_9
204_2_0,22650,0,When Arrival,2_0_10
108_1_0,22650,22,When Arrival,1_0_10
116_1_1,22650,8,Before Onboard,1_1_8
116_1_1,22650,0,After Onboard,1_1_8
210_2_1,22650,14,Before Onboard,2_1_8
210_2_1,22650,0,After Onboard,2_1_8
216_2_1,22650,12,Before Onboard,2_1_10
216_2_1,22650,0,After Onboard,2_1_10
103_1_0,22650,0,When Arrival,1_0_12
208_3_1,22650,11,Before Onboard,3_1_4
208_3_1,22650,0,After Onboard,3_1_4
122_1_0,22680,9,Before Onboard,1_0_5
122_1_0,22680,0,After Onboard,1_0_5
909_4_1,22680,9,Before Onboard,4_1_4
909_4_1,22680,0,After Onboard,4_1_4
108_4_0,22680,13,Before Onboard,4_0_7
108_4_0,22680,0,After Onboard,4_0_7
208_3_0,22680,4,When Arrival,3_0_9
111_1_0,22680,0,When Arrival,1_0_9
926_4_1,22680,0,When Arrival,4_1_9
919_4_1,22680,12,Before Onboard,4_1_7
919_4_1,22680,0,After Onboard,4_1_7
925_4_0,22680,0,When Arrival,4_0_5
113_2_0,22680,7,Before Onboard,2_0_7
113_2_0,22680,0,After Onboard,2_0_7
928_4_0,22680,5,Before Onboard,4_0_4
928_4_0,22680,0,After Onboard,4_0_4
213_2_1,22680,10,Before Onboard,2_1_9
213_2_1,22680,0,After Onboard,2_1_9
105_1_0,22680,6,Before Onboard,1_0_11
105_1_0,22680,0,After Onboard,1_0_11
921_4_0,22680,5,Before Onboard,4_0_6
921_4_0,22680,0,After Onboard,4_0_6
329_3_0,22710,0,When Arrival,3_0_2
108_1_0,22710,25,Before Onboard,1_0_10
108_1_0,22710,0,After Onboard,1_0_10
204_2_0,22710,20,Before Onboard,2_0_10
204_2_0,22710,0,After Onboard,2_0_10
204_2_1,22710,0,When Arrival,2_1_6
125_1_0,22710,0,When Arrival,1_0_4
105_3_1,22710,0,When Arrival,3_1_2
103_1_0,22710,5,Before Onboard,1_0_12
103_1_0,22710,0,After Onboard,1_0_12
