passenger_id,trajectory_type,trajectory_time,trajectory_platform
153959,Boarding,22320,305_4_0
153959,Exit,23280,925_4_0
227609,Boarding,22800,922_4_0
227609,Exit,23280,925_4_0
194013,Boarding,22140,909_4_1
194013,Exit,23280,922_4_1
194011,Boarding,22140,909_4_1
194011,Exit,23280,922_4_1
31426,Boarding,21840,110_1_0
31426,Transfer,22560,116_1_0
31426,Boarding,22590,116_3_0
31426,Exit,23310,321_3_0
124305,Boarding,22830,214_2_1
124305,Exit,23310,216_2_1
109969,Boarding,22470,210_2_1
109969,Exit,23310,204_2_1
7539,Boarding,21900,103_1_1
7539,Exit,23340,113_1_1
193830,Boarding,22680,909_4_1
193830,Exit,23340,921_4_1
214007,Boarding,22980,919_4_0
214007,Exit,23340,922_4_0
214008,Boarding,22980,919_4_0
214008,Exit,23340,922_4_0
220779,Boarding,23220,921_4_0
220779,Exit,23340,922_4_0
220778,Boarding,23220,921_4_0
220778,Exit,23340,922_4_0
34782,Boarding,22590,111_1_1
34782,Exit,23370,116_1_1
41549,Boarding,22950,113_1_1
41549,Exit,23370,116_1_1
41550,Boarding,22950,113_1_1
41550,Exit,23370,116_1_1
7352,Boarding,22290,103_1_1
7352,Exit,23370,111_1_1
27592,Boarding,23130,110_1_1
27592,Exit,23370,111_1_1
21136,Boarding,22710,108_1_0
21136,Exit,23370,113_1_0
90164,Boarding,22380,204_2_0
90164,Exit,23400,210_2_0
395,Boarding,22320,101_1_1
395,Exit,23400,108_1_1
198849,Boarding,22920,913_4_0
198849,Exit,23400,305_4_0
43634,Boarding,23250,113_2_0
43634,Exit,23430,214_2_0
35146,Boarding,21960,111_1_0
35146,Exit,23460,122_1_0
194177,Boarding,22140,909_4_1
194177,Exit,23460,925_4_1
194180,Boarding,22140,909_4_1
194180,Exit,23460,925_4_1
194179,Boarding,22140,909_4_1
194179,Exit,23460,925_4_1
227608,Boarding,23280,922_4_1
227608,Exit,23460,925_4_1
20,Boarding,23100,101_1_1
20,Exit,23460,103_1_1
145421,Boarding,22980,303_3_0
145421,Exit,23460,316_3_0
28126,Boarding,21960,110_1_1
28126,Exit,23460,119_1_1
34953,Boarding,22200,111_1_1
34953,Exit,23460,119_1_1
34955,Boarding,22200,111_1_1
34955,Exit,23460,119_1_1
221172,Boarding,22680,921_4_0
221172,Exit,23460,926_4_0
165754,Boarding,22860,316_3_1
165754,Exit,23460,321_3_1
102067,Boarding,23010,208_3_1
102067,Exit,23490,116_3_1
102068,Boarding,23010,208_3_1
102068,Exit,23490,116_3_1
162478,Boarding,22110,316_3_0
162478,Exit,23490,116_3_0
200329,Boarding,22920,913_4_0
200329,Exit,23520,919_4_0
146756,Boarding,22080,303_3_0
146756,Transfer,23100,305_3_0
146756,Boarding,23400,305_4_0
146756,Exit,23520,919_4_0
146759,Boarding,22080,303_3_0
146759,Transfer,23100,305_3_0
146759,Boarding,23400,305_4_0
146759,Exit,23520,919_4_0
146757,Boarding,22080,303_3_0
146757,Transfer,23100,305_3_0
146757,Boarding,23400,305_4_0
146757,Exit,23520,919_4_0
153412,Boarding,23400,305_4_0
153412,Exit,23520,919_4_0
42128,Boarding,21810,113_1_0
42128,Exit,23550,125_1_0
55447,Boarding,22590,119_1_0
55447,Exit,23550,125_1_0
35145,Boarding,21810,111_1_1
35145,Exit,23550,122_1_1
110344,Boarding,22020,210_2_1
110344,Exit,23580,208_2_1
83310,Boarding,22560,202_2_1
83310,Exit,23580,208_2_1
55620,Boarding,22200,119_1_0
55620,Exit,23580,128_1_0
62453,Boarding,22680,122_1_0
62453,Exit,23580,128_1_0
69223,Boarding,23160,125_1_0
69223,Exit,23580,128_1_0
9642,Boarding,21930,103_1_0
9642,Transfer,23370,113_1_0
9642,Boarding,23460,113_2_0
9642,Exit,23640,213_2_0
23166,Boarding,22710,108_1_0
23166,Transfer,23370,113_1_0
23166,Boarding,23460,113_2_0
23166,Exit,23640,213_2_0
3902,Boarding,22350,101_1_0
3902,Transfer,23490,108_1_0
3902,Boarding,23460,108_4_1
3902,Exit,23640,305_4_1
172720,Boarding,22410,321_3_0
172720,Exit,23670,329_3_0
42910,Boarding,22110,113_2_1
42910,Exit,23670,206_2_1
95122,Boarding,22680,206_2_0
95122,Exit,23700,113_2_0
18917,Boarding,23070,105_1_0
18917,Transfer,23490,108_1_0
18917,Boarding,23460,108_4_0
18917,Exit,23700,918_4_0
7538,Boarding,22290,103_1_1
7538,Exit,23730,113_1_1
43793,Boarding,23250,113_2_0
43793,Exit,23730,216_2_0
124306,Boarding,23430,214_2_0
124306,Exit,23730,216_2_0
117452,Boarding,23430,213_2_1
117452,Exit,23730,214_2_1
21320,Boarding,22710,108_1_0
21320,Exit,23730,116_1_0
34783,Boarding,23130,111_1_0
34783,Exit,23730,116_1_0
109971,Boarding,22920,210_2_1
109971,Exit,23760,204_2_1
109970,Boarding,22920,210_2_1
109970,Exit,23760,204_2_1
82927,Boarding,23460,202_2_1
82927,Exit,23760,204_2_1
82928,Boarding,23460,202_2_1
82928,Exit,23760,204_2_1
25762,Boarding,23400,108_4_1
25762,Exit,23760,919_4_1
14435,Boarding,22680,105_1_0
14435,Exit,23760,113_1_0
21135,Boarding,23100,108_1_0
21135,Exit,23760,113_1_0
91794,Boarding,21930,204_2_0
91794,Transfer,22590,208_2_0
91794,Boarding,22620,208_3_0
91794,Exit,23760,321_3_0
24658,Boarding,21930,108_1_0
24658,Transfer,22950,116_1_0
24658,Boarding,23040,116_3_0
24658,Exit,23760,321_3_0
145418,Boarding,22260,303_3_1
145418,Exit,23760,316_3_1
145417,Boarding,22260,303_3_1
145417,Exit,23760,316_3_1
105089,Boarding,22560,208_3_1
105089,Exit,23760,316_3_1
201258,Boarding,21840,913_4_0
201258,Exit,23760,928_4_0
234623,Boarding,23280,925_4_0
234623,Exit,23760,928_4_0
155970,Boarding,21960,310_3_0
155970,Transfer,23040,116_3_0
155970,Boarding,23340,116_1_0
155970,Exit,23760,119_1_0
48486,Boarding,23340,116_1_0
48486,Exit,23760,119_1_0
48487,Boarding,23340,116_1_0
48487,Exit,23760,119_1_0
160243,Boarding,22590,310_3_1
160243,Transfer,23010,305_3_1
160243,Boarding,23400,305_4_0
160243,Exit,23760,921_4_0
153589,Boarding,23400,305_4_0
153589,Exit,23760,921_4_0
7724,Boarding,21900,103_1_1
7724,Exit,23760,116_1_1
7726,Boarding,21900,103_1_1
7726,Exit,23760,116_1_1
27946,Boarding,22740,110_1_1
27946,Exit,23760,116_1_1
131201,Boarding,23280,216_2_0
131201,Exit,23760,219_2_0
27594,Boarding,23520,110_1_1
27594,Exit,23760,111_1_1
160635,Boarding,22140,310_3_1
160635,Transfer,22560,305_3_1
160635,Boarding,22860,305_4_0
160635,Exit,23820,925_4_0
153961,Boarding,22860,305_4_0
153961,Exit,23820,925_4_0
220964,Boarding,23220,921_4_0
220964,Exit,23820,925_4_0
220963,Boarding,23220,921_4_0
220963,Exit,23820,925_4_0
194012,Boarding,22680,909_4_1
194012,Exit,23820,922_4_1
34956,Boarding,22590,111_1_1
34956,Exit,23850,119_1_1
48704,Boarding,22950,116_1_0
48704,Exit,23850,122_1_0
90166,Boarding,22830,204_2_0
90166,Exit,23850,210_2_0
90165,Boarding,22830,204_2_0
90165,Exit,23850,210_2_0
144110,Boarding,22080,303_3_0
144110,Transfer,23520,208_3_0
144110,Boarding,23490,208_2_0
144110,Exit,23850,210_2_0
211,Boarding,23100,101_1_1
211,Exit,23880,105_1_1
210,Boarding,23100,101_1_1
210,Exit,23880,105_1_1
207141,Boarding,23520,918_4_1
