event_id,line_id,direction_id,train_id,station_id,platform_id,event_timestamp,event_type
101,1,0,1_0_5,105,105_1_0,20280,Arrival
102,1,0,1_0_5,105,105_1_0,20340,Departure
103,1,0,1_0_5,108,108_1_0,20700,Arrival
104,1,0,1_0_5,108,108_1_0,20760,Departure
105,1,0,1_0_5,110,110_1_0,21000,Arrival
106,1,0,1_0_5,110,110_1_0,21060,Departure
107,1,0,1_0_5,111,111_1_0,21120,Arrival
108,1,0,1_0_5,111,111_1_0,21180,Departure
109,1,0,1_0_5,113,113_1_0,21360,Arrival
110,1,0,1_0_5,113,113_1_0,21420,Departure
111,1,0,1_0_5,116,116_1_0,21720,Arrival
112,1,0,1_0_5,116,116_1_0,21780,Departure
113,1,0,1_0_5,119,119_1_0,22140,Arrival
114,1,0,1_0_5,119,119_1_0,22200,Departure
115,1,0,1_0_5,122,122_1_0,22620,Arrival
116,1,0,1_0_5,122,122_1_0,22680,Departure
117,1,0,1_0_5,125,125_1_0,23100,Arrival
118,1,0,1_0_5,125,125_1_0,23160,Departure
119,1,0,1_0_5,128,128_1_0,23520,Arrival
120,1,0,1_0_5,128,128_1_0,23580,Departure
121,1,0,1_0_6,101,101_1_0,19950,Arrival
122,1,0,1_0_6,101,101_1_0,20010,Departure
123,1,0,1_0_6,103,103_1_0,20310,Arrival
124,1,0,1_0_6,103,103_1_0,20370,Departure
125,1,0,1_0_6,105,105_1_0,20670,Arrival
126,1,0,1_0_6,105,105_1_0,20730,Departure
127,1,0,1_0_6,108,108_1_0,21090,Arrival
128,1,0,1_0_6,108,108_1_0,21150,Departure
129,1,0,1_0_6,110,110_1_0,21390,Arrival
130,1,0,1_0_6,110,110_1_0,21450,Departure
131,1,0,1_0_6,111,111_1_0,21510,Arrival
132,1,0,1_0_6,111,111_1_0,21570,Departure
133,1,0,1_0_6,113,113_1_0,21750,Arrival
134,1,0,1_0_6,113,113_1_0,21810,Departure
135,1,0,1_0_6,116,116_1_0,22110,Arrival
136,1,0,1_0_6,116,116_1_0,22170,Departure
137,1,0,1_0_6,119,119_1_0,22530,Arrival
138,1,0,1_0_6,119,119_1_0,22590,Departure
139,1,0,1_0_6,122,122_1_0,23010,Arrival
140,1,0,1_0_6,122,122_1_0,23070,Departure
141,1,0,1_0_6,125,125_1_0,23490,Arrival
142,1,0,1_0_6,125,125_1_0,23550,Departure
143,1,0,1_0_6,128,128_1_0,23910,Arrival
144,1,0,1_0_6,128,128_1_0,23970,Departure
145,1,0,1_0_7,101,101_1_0,20340,Arrival
146,1,0,1_0_7,101,101_1_0,20400,Departure
147,1,0,1_0_7,103,103_1_0,20700,Arrival
148,1,0,1_0_7,103,103_1_0,20760,Departure
149,1,0,1_0_7,105,105_1_0,21060,Arrival
150,1,0,1_0_7,105,105_1_0,21120,Departure
151,1,0,1_0_7,108,108_1_0,21480,Arrival
152,1,0,1_0_7,108,108_1_0,21540,Departure
153,1,0,1_0_7,110,110_1_0,21780,Arrival
154,1,0,1_0_7,110,110_1_0,21840,Departure
155,1,0,1_0_7,111,111_1_0,21900,Arrival
156,1,0,1_0_7,111,111_1_0,21960,Departure
157,1,0,1_0_7,113,113_1_0,22140,Arrival
158,1,0,1_0_7,113,113_1_0,22200,Departure
159,1,0,1_0_7,116,116_1_0,22500,Arrival
160,1,0,1_0_7,116,116_1_0,22560,Departure
161,1,0,1_0_7,119,119_1_0,22920,Arrival
162,1,0,1_0_7,119,119_1_0,22980,Departure
163,1,0,1_0_7,122,122_1_0,23400,Arrival
164,1,0,1_0_7,122,122_1_0,23460,Departure
165,1,0,1_0_7,125,125_1_0,23880,Arrival
166,1,0,1_0_7,125,125_1_0,23940,Departure
167,1,0,1_0_7,128,128_1_0,24300,Arrival
168,1,0,1_0_7,128,128_1_0,24360,Departure
169,1,0,1_0_8,101,101_1_0,20730,Arrival
170,1,0,1_0_8,101,101_1_0,20790,Departure
171,1,0,1_0_8,103,103_1_0,21090,Arrival
172,1,0,1_0_8,103,103_1_0,21150,Departure
173,1,0,1_0_8,105,105_1_0,21450,Arrival
174,1,0,1_0_8,105,105_1_0,21510,Departure
175,1,0,1_0_8,108,108_1_0,21870,Arrival
176,1,0,1_0_8,108,108_1_0,21930,Departure
177,1,0,1_0_8,110,110_1_0,22170,Arrival
178,1,0,1_0_8,110,110_1_0,22230,Departure
179,1,0,1_0_8,111,111_1_0,22290,Arrival
180,1,0,1_0_8,111,111_1_0,22350,Departure
181,1,0,1_0_8,113,113_1_0,22530,Arrival
182,1,0,1_0_8,113,113_1_0,22590,Departure
183,1,0,1_0_8,116,116_1_0,22890,Arrival
184,1,0,1_0_8,116,116_1_0,22950,Departure
185,1,0,1_0_8,119,119_1_0,23310,Arrival
186,1,0,1_0_8,119,119_1_0,23370,Departure
